file,code,action,old_display,new,reason
input/fsh/examples/CrossBorderExamples.fsh,372718005,REPLACE,,317291008 Omeprazole 20 mg oral capsule,wrong meaning: 372718005 is Imipramine; replaced with the verified product concept
input/fsh/examples/CrossBorderExamples.fsh,44054006,FIX,Diabetes mellitus type 2,Type 2 diabetes mellitus,official display
input/fsh/examples/CrossBorderExamples.fsh,44054006,FIX,Diabetes mellitus type 2,Type 2 diabetes mellitus,official display
input/fsh/examples/CrossBorderExamples.fsh,44054006,FIX,Diabetes mellitus type 2,Type 2 diabetes mellitus,official display
input/fsh/examples/CrossBorderExamples.fsh,44054006,FIX,Diabetes mellitus type 2,Type 2 diabetes mellitus,official display
input/fsh/examples/CrossBorderExamples.fsh,44054006,FIX,Diabetes mellitus type 2,Type 2 diabetes mellitus,official display
input/fsh/examples/Examples.fsh,44054006,FIX,Diabetes mellitus type 2,Type 2 diabetes mellitus,official display
input/fsh/examples/MedicationExamples.fsh,44054006,FIX,Diabetes mellitus type 2,Type 2 diabetes mellitus,official display
input/fsh/examples/MedicationExamples.fsh,44054006,FIX,Diabetes mellitus type 2,Type 2 diabetes mellitus,official display
input/fsh/examples/MedicationExamples.fsh,44054006,FIX,Diabetes mellitus type 2,Type 2 diabetes mellitus,official display
input/fsh/profiles/IECoreDocumentReference.fsh,42348-3,FIX,Advance directives,Advance healthcare directives,official display
input/fsh/profiles/IECoreHospitalDischarge.fsh,11535-2,FIX,Hospital discharge Dx Narrative,Hospital discharge diagnosis note,official display
input/fsh/profiles/IECoreHospitalDischarge.fsh,30954-2,FIX,Relevant diagnostic tests/laboratory data Narrative,Relevant diagnostic tests/laboratory data note,official display
input/fsh/profiles/IECoreHospitalDischarge.fsh,57852-6,FIX,Problem list Reported.admit,Problem list Narrative - Reported,official display
input/fsh/profiles/IECoreObservation.fsh,45473-6,FIX,Advance directive - living will,Advance healthcare directive completed,official display
input/fsh/profiles/IECoreObservation.fsh,75773-2,FIX,"Goals, preferences, and priorities for end of life care documentation","Goals, preferences, and priorities for medical treatment Narrative - Reported",official display
input/fsh/profiles/IECoreObservation.fsh,86645-9,FIX,Future pregnancy intention Reported,Pregnancy intention in the next year - Reported,official display
input/fsh/terminology/ValueSets.fsh,103693007,REMOVE,Diagnostic procedure,,inactive
input/fsh/terminology/ValueSets.fsh,11488-4,FIX,Consultation note,Consult note,official display
input/fsh/terminology/ValueSets.fsh,11488-4,FIX,Consultation note,Consult note,official display
input/fsh/terminology/ValueSets.fsh,11488-4,FIX,Consultation note,Consult note,official display
input/fsh/terminology/ValueSets.fsh,158965000,FIX,Doctor,Medical practitioner,official display
input/fsh/terminology/ValueSets.fsh,158965000,FIX,Doctor,Medical practitioner,official display
input/fsh/terminology/ValueSets.fsh,160573003,REMOVE,Alcohol intake unknown,,inactive
input/fsh/terminology/ValueSets.fsh,160618006,REMOVE,Current non-smoker but past smoking history unknown,,inactive
input/fsh/terminology/ValueSets.fsh,182841002,REMOVE,Doctor stopped drugs - Loss to follow-up,,wrong meaning: Doctor stopped drugs - ineffective (not adherence)
input/fsh/terminology/ValueSets.fsh,182845006,REMOVE,Drug treatment not indicated,,wrong meaning: Doctor stopped drugs - avoid interaction (not adherence)
input/fsh/terminology/ValueSets.fsh,182890002,REMOVE,Patient requests drug,,wrong meaning: Patient requests alternative treatment (not adherence)
input/fsh/terminology/ValueSets.fsh,21450003,FIX,Neuropsychologist,Neuropsychiatrist,official display
input/fsh/terminology/ValueSets.fsh,224529009,FIX,Clinical nurse specialist,Clinical assistant,official display
input/fsh/terminology/ValueSets.fsh,224570006,FIX,Clinical psychologist,Clinical nurse specialist,official display
input/fsh/terminology/ValueSets.fsh,224587008,FIX,Community midwife,Occupational therapy helper,official display
input/fsh/terminology/ValueSets.fsh,225928004,FIX,Transfer of patient to another care unit,Patient self-discharge against medical advice,official display
input/fsh/terminology/ValueSets.fsh,228274009,REMOVE,Drinks alcohol daily,,inactive and mislabelled (Lifetime non-drinker labelled Drinks alcohol daily)
input/fsh/terminology/ValueSets.fsh,228277002,FIX,Heavy drinker,Light drinker,official display
input/fsh/terminology/ValueSets.fsh,228278007,FIX,Very heavy drinker,Fairly heavy drinker,official display
input/fsh/terminology/ValueSets.fsh,264358009,REMOVE,General practice premises,,inactive
input/fsh/terminology/ValueSets.fsh,275928001,FIX,Non-compliant - Loss to follow-up,Drugs - partial non-compliance,official display
input/fsh/terminology/ValueSets.fsh,275929009,REMOVE,Compliant - making progress towards goals,,"wrong meaning: Tablets too large to swallow (a reason, not an adherence status)"
input/fsh/terminology/ValueSets.fsh,306705005,FIX,Discharge to convalescent hospital,Discharge to police custody,official display
input/fsh/terminology/ValueSets.fsh,306706006,FIX,Discharge to hospice,Discharge to ward,official display
input/fsh/terminology/ValueSets.fsh,307988006,FIX,Medical registrar,Medical technician,official display
input/fsh/terminology/ValueSets.fsh,309898008,FIX,Outpatient department,Psychogeriatric day hospital,official display
input/fsh/terminology/ValueSets.fsh,310151008,REMOVE,Medical card holder,,not found (no such SNOMED CT concept)
input/fsh/terminology/ValueSets.fsh,310152001,REMOVE,GP visit card holder,,not found (no such SNOMED CT concept)
input/fsh/terminology/ValueSets.fsh,34133-9,FIX,Summarization of episode note,Summary of episode note,official display
input/fsh/terminology/ValueSets.fsh,34133-9,FIX,Summarization of episode note,Summary of episode note,official display
